title,company-name,location,type,salary_package,company_requirements
Mathematics Expertise Sought for AI Training,Outlier Ai,Chandigarh,,"₹1,426","A bachelor's or higher degree in Mathematics or a related subject.
Certain projects offer incentive payments.
Outlier is looking for talented Mathematics expert…"
Short Form Trending Topic writer - Deltia's Gaming,sportskeeda,Remote,Internship ,,Deltias’s Gaming is looking for highly motivated and passionate Gaming writers with an understanding of everything related to new and upcoming AAA games and…
Chat Support Executive- Mohali,VitalTech Solutions Pvt Ltd.,"Mohali, Punjab",Contractual / Temporary,,"Work Schedule – *5 Days working.
Chat and Email coordination with customers.
Effective communication via mail/chat.
Assist digital team with online campaigns."
Academic Mentor,Oda Class - Pigeon Education India Pvt ltd2.0,"Bengaluru, Karnataka",,"₹30,000 - ₹35,000","Academic Mentor - Oda class – Full time*.
An online E-learning platform providing online classes for Grade 1-11 Students with 4 million users."
Back Office Assistant-Intern,Medyug Technology Pvt Ltd,Remote,Full-time ,,"Provide regular reports and updates on the performance of AI systems to stakeholders.
1.Review AI-generated responses across various platforms and applications."
Data Entry Operator,Swaniti Initiative,"Jamshedpur, Jharkhand",,,"Our interventions have included strengthening scheme implementation by identifying current gaps and limitations, providing research support to Hon’ble Members…"
Office Administrator/Estimator,Karma Staff,"Dehradun, Uttarakhand",Full-time,,"The selected candidates will perform all office administrative tasks related to customer calls, job management and tracking, scheduling of jobs, and customer…"
"Amazon, Flipkart & DropShipping Expert",Webtech Solutions,Remote,,,"Trend Analysis: Stay informed about e-commerce trends, platform updates, and industry shifts to keep our strategies innovative and competitive."
US-Customer Service Representative,QuantumBricks,Remote,,"₹40,000 - ₹45,000","At least 1 - 3 years' of relevant work experience.
Excellent phone etiquette and excellent verbal, written, and interpersonal skills."
"Transcriber (General,legal,Business) -Work from Home Full time",EarningsScript Pvt.Ltd.,Remote,Full-time,,"Adhering to the industry practices and confidentiality guidelines at all times.
Translating the recorded audio hearings into text documents."
Office Assistant,Techcruz Technologies,Remote,Monday to Friday ,,The ideal candidate will be a hard-working professional able to undertake a variety of office support tasks and work diligently under pressure.
Sales Officer (SO),Purohit Conveyor Beltings Pvt. Ltd.,"Nagaur, Rajasthan",,"₹10,000 - ₹12,000",We are looking for a high-performing Sales person to help us meet our customer acquisition and revenue growth targets by keeping our company competitive and…
Data Entry Operator cum Office Assistant,Konnectbrands,Remote,Full-time,,"This is much more than a Data Entry Operator role, you will be responsible for entering and updating data to multiple clients' personal databases while…"
ADMINISTRATIVE ASSISTANT,United Nations,"Srinagar, Jammu and Kashmir",,,"Category and Level : General Service and Related Categories, G-5.
The position is located in the Jammu office of the United Nations Military Observer Group in…"
Tele Caller Executive,Deepika Enterprises,Remote,,"₹15,000 - ₹16,000","Showcase in the depth knowledge of the products.
Collaborate closely with the marketing team.
Expected hours: 20 – 40 per week.
Tele sales: 1 year (Preferred)."
Retail Assistant,INTEGRATION FUTURE LIMITED,Remote,Full-time,,"Overseeing the operation finance and general direction of a business.
Responsible for managing the schedules and communications of key company executives."
Solutions Architect,Extensible IT Solutions Private Limited,"Hybrid work in Jaipur, Rajasthan",Monday to Friday ,,We are committed to being a driving force in the innovation of the insurance market and that means that we help our employees stay on top of current trends and…
Tele Caller Executive,PJ Group,Remote,,"₹15,000 - ₹20,000","Identifying qualifying and securing business opportunities , coordinating business generation activities.
Maintaining a list base of prospect client."
Tea Factory Assistant,IG Group,"Dum Duma, Assam",,,"Supervision, Planning, Maintenance, and Management of Tea Manufacturing Factory.
Must have knowledge of Manufacturing of both Orthodox and CTC Teas."
Telecalling,JSR Group Suncity,Remote,,,"Job Types: Full-time, Part-time.
Expected hours: No less than 21 per week."
Assistant Supervisor,CHANDRASHEKHAR ENTREPRENEUR,"Gurugram, Haryana",,"₹4,000 - ₹5,000","*Requirements:* Leadership experience, strong communication skills, problem-solving abilities, industry knowledge.
Supervise and guide team members."
Online Physics High School,eTutorszone.com,Remote,Part-time ,,"Can work early morning hours (US shift).
We help students throughout the United States who are preparing for the K-12 (Math, English, Science) and SAT, ACT, and…"
Customer Service Executive (WFH),Ingold Solutions Private Limited,"Remote in Kolkata, West Bengal",,,"Our ideal candidate will have a passion to provide exceptional customer service.
Main point of contact for our English speaking clients."
Customer Support Representative,eigital - redefining digital,Remote,,"From ₹5,000","Make and answer calls, follow up with clients, daily engagement (on an as-needed basis) to ensure customer happiness following go-live and during the customer's…"
Customer Support Executive,Miko,Remote,Internship,,Provide feedback and recommendations to the product team based on direct experience with current and potential customer's feedback.
Assistant Supervisor,Prashant Enterprise,Remote,Monday to Friday ,,"*only for freshar condidate and age 18+ and qualification 12th+ my team full sapported * Job Type: Fresher Pay: ₹15,000.00 - ₹20,000.00 per month…"
Tamil Teacher for IGCSE,Yellow Train School,"Arasur, Coimbatore, Tamil Nadu",,"₹35,000.00 - ₹41,321.82","Our High School and Senior School offer the IGCSE and A Levels by Edxecel.
Of buildings made of mud blocks with open spaces and light play."
Urdu - English Interpreter/Translator,OrganoMart,Remote,Full-time,,"EXCELLENT COMMUNICATION SKILLS IN URDU & ENGLISH.
12TH PASS / GRADUATION COMPLETION IS MANDATORY.
5 DAYS WORKING, ROTATIONAL WEEK OFFS,SHIFTS."
Overseas Education - Counsellor ( Nashik ),Wachstum Consultants,"Nashik, Maharashtra",,"₹20,000 - ₹40,000","Must have 6months - 2 years experience of working as overseas education consultant.
Engage with prospective leads and get them enrolled."
Executive Assistant to the Chairman,Madhu Construction Pvt Ltd,"Santacruz West, Mumbai, Maharashtra",Full-time ,,"Knowledge of the Marathi language will be an added advantage.
Office Timings: 9:30 am to 6:30 pm. Having a minimum of 5 years of experience with good English…"
Graphic Designer,Print Factory,"Tilak Nagar, Jaipur, Rajasthan",,,"Minimum *3 years* of experience in graphic design with a focus on *CorelDRAW.
The ideal candidate will also have working knowledge of *Adobe…"
Tele Caller Executive,Deepika Enterprises,Remote,,"₹15,000 - ₹35,000","Showcase in the depth knowledge of the products.
Collaborate closely with the marketing team.
Expected hours: 20 – 40 per week.
Tele sales: 1 year (Preferred)."
Customer Support Associate,The Recruit HR Services,Remote,Full-time ,,"Resolve the customer’s queries and giving the best solution.
Prepare various shipping documents via call.
Under graduate candidates with excellent communication…"
Entry Level Operations Support Officer,Mobile Mobile Orlando,"Remote in Mumbai Central, Mumbai, Maharashtra",,,"As an Operations Support Officer, you will play a critical role in ensuring that our operations run smoothly and efficiently."
Tele Marketing Executive,RGR Academy,"Perambur, Chennai, Tamil Nadu",,,Total work: 2 years (Required).
Telecalling,Soumik Enterprises,Remote,,"₹6,00,000 - ₹7,00,000","Candidates are required to possess a valid national identity card, such as an aadhar card..
*Candidate should be at least 18 years old and not more than 30…"
Teacher,Walnut School4.6,"Pune, Maharashtra",Full-time,,"Strengthen students' interest in the subject, and address doubts.
Engage students to ensure a lively classroom atmosphere."
Sales Executive,TutorX,"Gurugram, Haryana",,,"Present and demonstrate our services to prospective customer.
Proven experience in sales, preferably in the EdTech industry."
"Virtual Customer Service Associate - Hyderabad, India",Amazon.com,Remote in India,,"₹24,000 - ₹30,000","In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
Marathi language Transcriber,TalentQ HR,Remote,Full-time,,"You must also have superb typing skills and be able to focus for a long period of time.
Grammar, spelling and punctuation accuracy."
Marathi language Transcriber,TalentQ HR,Remote,,"₹15,000 - ₹20,000","You must also have superb typing skills and be able to focus for a long period of time.
Grammar, spelling and punctuation accuracy."
tellecaller,prachi enterprise,Remote,Full-time,,Total work: 1 year (Preferred).
E-Commerce Executive,Gk enterprises3.2,"Kopar Khairane, Navi Mumbai, Maharashtra",,,"Total work: 3 years (Preferred).
Product listing,cataloging,packing,shipping order processing on flipcart,Amazon snapdeal etc.
E-commerce: 2 years (Preferred)."
Course Advisor,The Drama Schools Foundation Mumbai,"Girgaon, Mumbai, Maharashtra",,"₹20,000 - ₹30,000","Engage with attendees after webinars, workshops, or any other initial interactions to address any further questions and guide them through the next steps in the…"
Room Attendant/Housekeeping,Terrakotta Rishikesh,"Rishikesh, Uttarakhand",Full-time,,"Ensure all assigned rooms are clean and tidy by the end of the shift.
Replenish bath care products (e.g. soap and shampoo).
Clean public areas, like corridors."
Admin & Executive Assistant,Comms8,Remote,Full-time,,"Minimum of 3-5 years of experience in an executive assistant or office management role.
This role will report directly to the Managing Director and will be…"
General Virtual Assistant (India),Wing Assistant,Remote,,,"Gather data on trends, industry best practices, and other publicly available information and prepare reports on the findings (e.g., for comparative analysis)."
Sales Executive for Jharsuguda & Sundargarh,INFINITY HYUNDAI,"Jharsuguda, Orissa",,"₹10,000 - ₹12,000","EXPERIENCE: 6 months to 3 years in similar role.
Meeting or Exceeding Sales Goals.
Participating in special sales events.
Job Types: Full-time, Permanent."
Ayurveda Doctor,Shreshtha Ayurveda,"Surat, Gujarat",Full-time,,"Conduct comprehensive consultations with patients, Ayurvedic constitution (prakriti).
Provide accurate diagnoses based on Ayurvedic principles and determine…"
Healer (Listener),Smiling Souls Services LLP,Remote,,,"Job Types: Part-time, Temporary, Fresher."
Data Entry Operator,Exim Logistics Pvt Ltd,"Bhubaneswar, Orissa",,"₹10,000 - ₹32,000","DCB 928-931, 9th floor, DLF Cyber City.
Inputting, updating, and maintaining accurate data records into our databases and systems.*."
Centre In-charge,Greenvalley International School,"Trivandrum District, Kerala",Full-time,,"As a Centre in charge, you should have the skills to communicate with various people which include, Parents, Vendors, Staff, and Students."
parent and tutor coordinator,iTutormind Digital Education LLP,Remote,,"₹9,000 - ₹15,000","Remote - hybrid - once a week - visit to office - coworking space at Sector 65, Golf course extension road.*.
C) Monthly meeting of tutors and 1-2-1 meetings as…"
US-Customer Service Representative,QuantumBricks,Remote,Full-time ,,"At least 1 - 3 years' of relevant work experience.
Excellent phone etiquette and excellent verbal, written, and interpersonal skills."
"Virtual Customer Service Associate - Hyderabad, India",Amazon.com,Remote in India,,"₹3,00,000 - ₹3,80,000","In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
International Process- Email & chat,Covenant Consultant,"Bengaluru, Karnataka",Full-time ,,"Shift: Completely rotational shifts, in specific very rare day shifts, most of the shifts rotate between 2 pm to 2 am any 9 hrs.*."
WANTED COMPUTER (AI) TEACHER,Laurus the school of Excellence - Nizampet Village,"Hyderabad, Telangana",,,"Plan and deliver engaging Computer/AI lessons for students of higher grades.
Minimum of 2 years of teaching experience in a higher school setting."
Recruitment Executive,Akshita enterprises,Remote,,"₹15,000 - ₹22,000",*Responsibilities* - Conduct executive searches to identify top-tier talent for leadership positions - Utilize various sourcing techniques to attract…
Healer (Listener),Smiling Souls Services LLP,Remote,Full-time,,"Job Types: Part-time, Temporary, Fresher."
Counter Sales Executive (Kondapur Hyderabad),KRISHNA PEARLS AND JEWELLERS,"Kondapur, Hyderabad, Telangana",,,"Retail sales: 3 years (Required).
Responsible to achieve the individual sales target and execute the company’s strategies to enhance the store’s profit."
Admin & Executive Assistant,Comms8,Remote,,"₹25,000 - ₹35,000","Minimum of 3-5 years of experience in an executive assistant or office management role.
This role will report directly to the Managing Director and will be…"
